,0.01,0.1,0.5,0.9,1.0,2.0
0,0.991,0.919,0.687,0.546,0.512,0.353
16000,0.972,0.791,0.38,0.221,0.193,0.086
32000,0.956,0.655,0.187,0.068,0.057,0.015
48000,0.941,0.55,0.087,0.02,0.017,0.002
64000,0.912,0.446,0.044,0.005,0.004,0.0
80000,0.888,0.381,0.021,0.003,0.0,0.0
