Theta,u0,Ruin Probability Approx1
0.01,0,[{psi(0): 0.990099009900990}]
0.01,16000,[{psi(16000): 0.971490907895252}]
0.01,32000,[{psi(32000): 0.953232529964372}]
0.01,48000,[{psi(48000): 0.935317303330079}]
0.01,64000,[{psi(64000): 0.917738778744100}]
0.01,80000,[{psi(80000): 0.900490628166514}]
0.1,0,[{psi(0): 0.909090909090909}]
0.1,16000,[{psi(16000): 0.760232242793531}]
0.1,32000,[{psi(32000): 0.635748369281171}]
0.1,48000,[{psi(48000): 0.531648049494050}]
0.1,64000,[{psi(64000): 0.444593587948034}]
0.1,80000,[{psi(80000): 0.371793818547093}]
0.5,0,[{psi(0): 0.666666666666667}]
0.5,16000,[{psi(16000): 0.324244955341642}]
0.5,32000,[{psi(32000): 0.157702186596755}]
0.5,48000,[{psi(48000): 0.0767012076755160}]
0.5,64000,[{psi(64000): 0.0373049694860965}]
0.5,80000,[{psi(80000): 0.0181439222475610}]
0.9,0,[{psi(0): 0.526315789473684}]
0.9,16000,[{psi(16000): 0.175207018120269}]
0.9,32000,[{psi(32000): 0.0583252484773330}]
0.9,48000,[{psi(48000): 0.0194160864469908}]
0.9,64000,[{psi(64000): 0.00646348575889101}]
0.9,80000,[{psi(80000): 0.00215165132630842}]
1.0,0,[{psi(0): 1/2}]
1.0,16000,[{psi(16000): 0.153801075864462}]
1.0,32000,[{psi(32000): 0.0473095418741319}]
1.0,48000,[{psi(48000): 0.0145525168777926}]
1.0,64000,[{psi(64000): 0.00447638550468048}]
1.0,80000,[{psi(80000): 0.00137694581320788}]
2.0,0,[{psi(0): 1/3}]
2.0,16000,[{psi(16000): 0.0568004251751102}]
2.0,32000,[{psi(32000): 0.00967886490021988}]
2.0,48000,[{psi(48000): 0.00164929092463482}]
2.0,64000,[{psi(64000): 0.000281041277270125}]
2.0,80000,[{psi(80000): 4.78897921220974e-5}]
