,0.01,0.1,0.5,0.9,1.0,2.0
0,0.979,0.837,0.458,0.276,0.255,0.109
16000,0.967,0.731,0.255,0.123,0.105,0.031
32000,0.947,0.609,0.118,0.04,0.03,0.002
48000,0.924,0.506,0.062,0.009,0.008,0.001
64000,0.911,0.425,0.029,0.002,0.001,0.0
80000,0.888,0.352,0.006,0.0,0.0,0.0
