,0.01,0.1,0.5,0.9,1.0,2.0
0,14.723055487804878,3.3440721254355394,0.9034883248730966,0.6584546296296294,0.64075,0.46830425531914893
16000,19.718392660550457,3.6525413314840502,0.8731131901840491,0.6144470588235295,0.5488186746987952,0.3819333333333333
32000,18.161863329820864,3.877885714285714,0.8464832432432433,0.5612833333333332,0.5305983870967742,0.30910000000000004
48000,19.581671243243246,4.178647330960854,0.7718651685393259,0.5836909090909091,0.5286777777777778,0.30779999999999996
64000,17.7307973480663,3.616046304347826,0.8911,0.6815,0.5480571428571429,
80000,16.5603471719457,3.676689769820972,0.9816681818181819,0.5755,0.6912,
