,0.01,0.1,0.5,0.9,1.0,2.0
0,0.992,0.916,0.7,0.562,0.542,0.358
16000,0.976,0.792,0.388,0.232,0.215,0.092
32000,0.961,0.665,0.2,0.076,0.066,0.011
48000,0.945,0.57,0.09,0.018,0.012,0.0
64000,0.918,0.465,0.043,0.005,0.004,0.0
80000,0.895,0.393,0.015,0.001,0.001,0.0
