,0.01,0.1,0.5,0.9,1.0,2.0
0,8528.495436932391,8400.34973601741,8528.833372222223,8484.736079667284,8611.403260351562,8571.573089444444
16000,5894.9583573045265,5900.337231734317,5380.544947487438,5115.382015481171,4826.829313953487,4681.000354629629
32000,5718.156623819517,5670.336496279762,4602.994941621621,5717.972237179487,5222.45634516129,5939.169752941177
48000,5697.926287392242,6017.379637900355,5248.573041573034,5361.494227272727,5837.747422222223,1823.83575
64000,5447.600804735683,5617.542486086956,4899.637495652173,5360.6735375,2805.7300142857143,
80000,5926.281207457627,6138.40181483376,4775.652636363636,4048.04215,6024.0931,
