,0.01,0.1,0.5,0.9,1.0,2.0
0,0.997,0.975,0.885,0.823,0.811,0.742
16000,0.99,0.946,0.794,0.705,0.692,0.588
32000,0.982,0.913,0.684,0.57,0.552,0.392
48000,0.978,0.886,0.594,0.458,0.439,0.294
64000,0.969,0.851,0.519,0.37,0.346,0.211
80000,0.962,0.82,0.448,0.299,0.265,0.151
